id;abstract
11;"OBJECTIVE: To analyze the temporal trend and describe the spatial distribution of Visceral Leishmaniasis (VL) in Fortaleza from 2007 to 2017. METHODS: This was an ecological study using segmented temporal regression and thematic mapping. RESULTS: Between 2007-2017, 1,660 new cases and 97 deaths were confirmed. The overall incidence rate showed a rising trend (Annual Percent Change - APC=8.7% - 95%CI -3.3;34.1), while the mortality rate (APC=-25.9 - 95%CI -48.5;-10.6) and lethality (APC=-33.0 - 95%CI -53.7;-17.6) showed a falling trend. From 2010-2015 the incidence rate fell (APC=-15.8 - 95%CI -25.1;-4.0), but mortality (APC=18.7 - 95%CI 9.4;50.6) and lethality (APC=40.1 - 95%CI 22.5;72.0) had an upward trend. In 2015-2017, incidence (APC=-24.6 - 95%CI -36.2;-10.3), and mortality (APC=-44.6 - 95%CI -58.8;-17,6) fell, while lethality remained stable (APC=-13.5 - 95%CI -38.7;3.8). High incidence neighborhoods were clustered in the western region of the city, however, mortality and lethality did not present defined spatial patterns. CONCLUSION: VL is endemic in Fortaleza, although there was a reduction in the last three years studied."
12;"This article presents the history and construction of the National Health Survey (PNS) 2019, a household survey conducted in partnership with the Brazilian Institute of Geography and Statistics. The objective of PNS 2019 was to provide the country with information on the health determinants, conditionants and needs of the Brazilian population. The expected sample was 108,525 households, considering a 20% non-response rate. The questionnaire had three parts, covering: (i) the household; (ii) all residents of the household, focusing on collection of socioeconomic and health information; and (iii) the selected resident (15 years old or more) for whom lifestyles, chronic diseases, violence, among other topics were investigated, as well as their anthropometric measurements (subsample). The information provided by PNS 2019 will serve as a basis for the (re)formulation of health policies, as well as support for existing actions and programs of the Brazilian National Health System."
13;"OBJECTIVE: To analyze the time trend and spatial distribution of transport accident (TA) mortality in Piauí, from 2000 to 2017. METHODS: An ecological time series study was conducted using Mortality Information System (SIM) data on TA mortality among people resident in the state of Piauí, according to sex, age group and municipality. Prais-Winsten regression was used. RESULTS: 14,396 deaths were recorded. The mortality rate per 100,000 inhabitants was 13.9 in 2000 and 30.6 in 2017. There was a significant increase in the TA mortality rate (annual percent change [APC] of 6.4% - 95%CI 4.3;8.7), being higher among motorcyclists (APC=14.7% - 95%CI 9.7;20.0) and among vehicle occupants (APC=15.2 - 95%CI 10.5;20.2). CONCLUSION: There was significant increase in TA mortality in Piauí, especially among motorcyclists and vehicle occupants. Actions are needed to promote road safety and to prevent road traffic deaths."
14;"OBJECTIVE: To describe medicinal plants used by people with tuberculosis (TB) in municipalities in Northern Bahia, in 2017. METHODS: A descriptive study was carried out with primary data on medicinal plants used by people with TB ≥18 years old, presented according to botanical nomenclature and frequency of consumption. RESULTS: Of the 80 people interviewed, 50 reported consuming some kind of medicinal plant; these were mainly male (34), ≥47 years old (22), of brown/black skin color (34), with up to complete primary education (25), married (26), not economically active (30), earning up to BRL 300/month (26), with coughs (33) and with no previous history of TB (44). Two species stood out in the citations, Chenopodium ambrosioides L. (worm-seed: 23 citations), and Solanum capsicoides All. (cockroach berry: 17 citations). CONCLUSION: There was widespread use of medicinal plants as a TB care practice in six municipalities in Northern Bahia."
15;"OBJECTIVE: To analyze association between prevalence and severity of dental caries and demographic, socioeconomic, behavioral and oral health status in adolescents. METHODS: This was a cross-sectional study with secondary data on 5,558 adolescents examined in the São Paulo State Oral Health Survey in 2015. The zero-inflated negative binomial regression model was used, considering sample weights. Prevalence ratios (PR), ratios of mean (RM) and confidence intervals (CI) were estimated. RESULTS: Caries prevalence was 71.7%, and was higher in females (PR=1.09 - 95%CI 1.04;1.15), associated with being behind at school (PR=1.11 - 95%CI 1.03;1.18), dental calculus (PR=1.10 - 95%CI 1.01;1.20) and no access to fluoridated water (PR=1.21 - 95%CI 1.01;1.45). CONCLUSION: Identification of factors associated with dental caries can instruct the programming of health services aimed at controlling the disease."
16;"OBJECTIVE: To estimate magnitude and determinants of neonatal and postneonatal mortality rates in Goiânia, Brazil, 2012. METHODS: This was a retrospective cohort study based on data linkage of the Live Birth Information System and the Mortality Information System. Logistic regression was used to evaluate factors associated with neonatal and postneonatal death. RESULTS: Neonatal mortality (0-27 days of life) was 9.4 deaths per 1,000 live births; while postneonatal mortality (28-364 days of life) was 3.0 deaths per 1,000 live births. Neonatal mortality associated factors were: 0-3 prenatal care visits (OR=13.10 - 95%CI 7.48;22.96), 19-34-week pregnancy (OR=6.25 - 95%CI 2.26;17.29), birth weight <1,500g (OR=62.42 - 95%CI 22.72;171.48) and cesarean delivery (OR=0.54 - 95%CI 0.37;0.79). Postneonatal mortality associated factors were: 0-3 prenatal care visits (OR=4.16 - 95%CI 1.51;11.43) and birth weight <1.500g (OR=18.74 - 95%CI 4.04;87.00). CONCLUSION: A low number of prenatal care visits, premature childbirth and low birth weight were the main risk factors for neonatal and postneonatal mortality."
17;OBJECTIVE: To describe the profile of exogenous pesticide poisoning notifications in Rio Grande do Sul, Brazil, from 2011 to 2018. METHODS: This was a descriptive study of data retrieved from the Notifiable Health Conditions Information System. Sociodemographic, clinical and pesticide-related variables were included and presented in absolute and relative frequencies. RESULTS: 3,122 suspected cases of exogenous pesticide poisoning were reported. The main toxic agent was pesticide for agricultural use (60%). Spraying (42%) and dilution (18%) proved to be the activities with greatest pesticide exposure. Most pesticide poisoning occurred at home (59%), and accidental contamination (40%) was the main cause of poisoning. Most poisoning was of the acute single kind (82%) and clinical evaluation (61%) was the criterion most used for diagnosis. CONCLUSION: Most of records of exogenous pesticide poisoning in Rio Grande do Sul were related to its agricultural production model.
18;"OBJECTIVE: To assess the association between tuberculosis determinants and performance of directly observed treatment (DOT) under different levels of Family Health Strategy (FHS) coverage in Brazil. METHODS: This was a cross-sectional study using data on tuberculosis cases notified between 2014 and 2016 on the Notifiable Health Conditions Information System, as well as data on FHS coverage in the municipality of residence. Logistic regression was used. RESULTS: 177,626 individuals were included; being an alcohol user (odds ratio (OR) 1.09 - 95% confidence interval % [95%CI] 1.03;1.16), being deprived of liberty (OR=1.21 - 95%CI 1.12;1.32) and positive sputum smear microscopy (OR=1.15 - 95%CI 1.10;1.21) increased the chances of DOT being performed . When stratified by FHS coverage, these associations became weak in the highest stratum of coverage. CONCLUSION: DOT being performed was associated with determinants of tuberculosis. However, association was not confirmed among residents in municipalities with higher FHS coverage."
19;"OBJECTIVE: To describe COVID-19 hospitalized health worker cases in Brazil. METHODS: This was a descriptive case series study; it included cases that became ill between February 21st and April 15th, 2020 registered on the Influenza Surveillance Information System (SIVEP-Gripe, acronym in Portuguese). RESULTS: Of the 184 cases, 110 (59.8%) were female and median age was 44 years (min-max: 23-85); 89 (48.4%) were nursing professionals and 50 (27.2%) were doctors. Ninety-two (50.0%) presented comorbidity, with heart disease predominating (n=37; 40.2%). Of the 112 professionals with a record of case progression, 85 (75.9%) were cured and 27 (24.1%) died, 18 of whom were male. CONCLUSION: The profile of COVID-19 hospitalized health workers is similar to that of the general population with regard to age and comorbidities, but different in relation to sex. The most affected areas were nursing and medicine."
20;"OBJECTIVE: To analyze the trend of leprosy indicators in Goiás between 2001 and 2017. METHODS: An ecological time series study was conducted. Leprosy morbidity and operational indicators were calculated using Notifiable Health Conditions Information System data. Prais-Winsten regression was used for trend analysis. RESULTS: There was a falling trend in the detection rate in the general population (Annual Percent Change [APC] = -6.8 - 95%CI -8.2;-5.4) and in children under 15 years old (APC = -7.2 - 95%CI -8.5;-5.9); a rising trend in the proportion of grade 2 disability (APC = 3.7 - 95%CI 2.0;5.3) and in the proportion of examined physical disability (APC = 0.6 - 95%CI 0.3;0.8); healing and examined contacts proportions were stable. CONCLUSION: Detection rates decreased while the proportions of grade 2 physical disability and examined physical disability increased."
21;"OBJECTIVE: To analyze the correlation between municipalities adhering to the Health Fitness Center Program, noncommunicable chronic disease (NCD) hospitalizations and socioeconomic levels from 2011 to 2017. METHODS: This was an ecological study; HFCP adherence indicators for 2,837 municipalities were calculated, as were NCD hospitalization indicators, according to funding categories and the Firjan Socioeconomic Development Index. RESULTS: The HFCP adherence indicator was higher for municipalities that received Congress funding (1.18), had moderate to high Firjan Socioeconomic Development Indices (0.94) and high NCD hospitalization indicators (1.03) (p<0.001). There were positive correlations (p<0.05) between the two indicators in municipalities receiving Ministry of Health funding (r=0.14) and those receiving both Congress and Ministry of Health funding (r=0.12); whereas correlation was negative in municipalities with moderate to low Firjan Socioeconomic Development Indices (r=-0.09; p=0.013). CONCLUSION: The main form of adherence to the HFCP, according to population size, was through Congress funding. Municipalities with poorer socioeconomic and NCD indicators had lower adherence to the HFCP."
22;"OBJECTIVE: To characterize tuberculosis cases notified at post-mortem in Brazil in 2014. METHODS: This is a descriptive study of tuberculosis cases notified at post-mortem. Data resulted from linkage of the Notifiable Health Conditions Information System-TB (SINAN-TB) and the Mortality Information System (SIM), and were described according to underlying cause of death: tuberculosis, AIDS and other. RESULTS: In the 2,703 tuberculosis cases notified at post-mortem, a higher proportion was found of people of the male sex (73.5%), aged over 39 (80.8%), <8 years of schooling (66.5%), of Black and brown race/skin color (62.8%), with the pulmonary clinical form of tuberculosis (75.2%); there was also a higher proportion of cases notified by the public health service (57.6%) and in municipalities with HDI-M >0.7 (66.6%). CONCLUSION: The characteristics described of people with post-mortem notification and the magnitude of this outcome suggest weaknesses in tuberculosis care and surveillance services."
23;"OBJECTIVE: To propose a list of congenital anomalies having corresponding codes in the International Statistical Classification of Diseases and Related Health Problems, 10thRevision (ICD-10), with the aim of applying it in health surveillance. METHODS: In December 2019, the following data sources were searched: ICD-10; ICD-11; anomalies monitored by three surveillance programs; and a database of rare diseases (Orphanet). Anomalies were retrieved from these data sources, processed to check for correspondence with ICD-10 and reviewed manually to compile the list. RESULTS: 898 codes were identified, of which 619 (68.9%) were contained in ICD-10 Chapter XVII. Of the 279 codes contained in other chapters, 19 were exclusive to the ICD-11 search, 72 to the surveillance programs, 79 to Orphanet and 36 to the search for terms in ICD-10. CONCLUSION: The codes contained in ICD-10 Chapter XVII do not capture the totality of congenital anomalies, indicating the need to adopt an expanded list."
24;OBJECTIVE: To compare primary health care (PHC) actions taken to care for chronic non-communicable diseases (NCDs) in the state of Goiás, Brazil, between 2012 and 2014. METHODS: This was a descriptive study using secondary data from the National Program for Improving Primary Care Access and Quality (PMAQ-AB). The proportions of teams performing actions to address NCDs were compared between PMAQ-AB cycles I and II using the McNemar test for paired samples. RESULTS: Seventeen of the 20 variables studied showed a proportional increase between the two cycles: from 16.0% to 32.1% of teams that practiced all care management actions, from 21.5% to 35.2% of those that practiced all health promotion actions and from 22.2% to 39.8% of teams that practiced all activities at school. CONCLUSION: PHC actions to address NCDs in Goiás were strengthened between the two PMAQ-AB cycles.
25;"OBJECTIVE: To evaluate prevalence and factors associated with service user embracement by Primary Health Care teams in Brazil. METHODS: This is a cross-sectional study that included teams that took part in the 2012 National Program for Primary Health Care Access and Quality Improvement (PMAQ-AB) (Cycle I). The outcome used was 'user embracement by the health team'. The independent variables were macro-region, municipal profile, Gini index and Family Health Strategy population coverage, team meetings, study of spontaneous demand, consideration of user opinions and existence of continuing education. Multilevel Poisson regression analysis was performed. RESULTS: The sample consisted of 13,751 teams. User embracement prevalence was 78.3% (95%CI 77.6;79.1). In the hierarchical analysis, the highest prevalence of user embracement was found among Southern region teams (PR=1.37 - 95%CI 1.27;1.48) taking the Northeast region as a reference. CONCLUSION: There is an uneven distribution of Primary Care teams practicing user embracement in Brazil, possibly associated with regional inequalities."
26;"OBJECTIVE: To analyze the adherence of the population to physical contact restriction measures and the spread of COVID-19 in Brazil. METHODS: This was a web-based health survey carried out from April 24 to May 24 2020 using a chain sampling procedure. Intensity of adherence to physical contact restriction measures was analyzed according to sociodemographic characteristics, using logistic regression models to investigate associations with 'No/little adherence'. RESULTS: Of the 45,161 participants, 74.2% (73.8;74.6%) reported intense adherence to the measures. The group that did not adhere to the measures was characterized by men (31.7%), those aged 30 to 49 (36.4%), those with low education levels (33.0%), those who worked during the pandemic (81.3%), those resident in the North (28.1%) and Midwest (28.5%) regions of the country. In Brazil as a whole, there was a decrease in COVID-19 daily growth rates, from 45.4% to 5.0%. CONCLUSION: A large part of the Brazilian population adhered to physical contact restriction measures, which possibly contributed to decreasing the spread of COVID-19."
27;OBJECTIVE: To present the situational diagnosis of the leprosy laboratory reference network in the region of São José do Rio Preto, SP, Brazil. METHODS: This was an evaluation study with a descriptive design. The data were collected by means of an online form filled in by those in charge of the leprosy program in 2018. RESULTS: All 102 municipalities that make up the region provided the requested data, 82.4% (84/102) requested slit-skin smear microscopy and of these 68 received training. Of the total, 11.7% sent slit-skin smears to other laboratories outside the reference network. Only 57.8% (59/102) requested a biopsy, of these 47 had a doctor responsible for taking the biopsy sample and 31 did not send biopsy samples for analysis in the reference network. Lack of an adequate room, few trained professionals, absence of material for transportation and absence of printed test requisitions were described as aspects that hinder leprosy case diagnosis in the region. CONCLUSION: The laboratory network is fragile and needs to be restructured.
28;[This corrects the article doi: 10.1590/S1679-49742020000500006] [This corrects the article doi: 10.1590/S1679-49742020000400023].
29;OBJECTIVE: To describe the profile of deaths and the lethality of Severe Acute Respiratory Syndrome (SARS) due to COVID-19 in hospitalized children and adolescents in Brazil. METHODS: This was a cross-sectional study conducted with data from the SARS notification forms of children and adolescents (0 to 19 years old) with laboratory-confirmed COVID-19. Notifications with complete progression of SARS due to COVID-19 were included, up to the 38th Epidemiological Week of 2020. RESULTS: 6,989 hospitalizations were investigated, 661 died, resulting in 9.5% hospital lethality. Higher lethality rates were observed among children under 1 year of age (14.2%), female children and adolescents (9.7%), the indigenous (23.0%), and those living in rural areas (18.1 %), as well as in the Northeast (15.4%) and North (9.7%) regions of Brazil. CONCLUSION: Differences in hospital mortality were found according to sociodemographic characteristics and marked regional inequalities.
30;OBJECTIVE: To build scenarios and analyze the impact of social distancing policies on the spread of COVID-19 and the need for intensive care unit beds. METHODS: Three dissemination scenarios were built according to level of adherence to social distancing measures in the context of Brazil's Federal District, based on a dynamic transition compartmental model and Monte Carlo simulations. The model's parameter values were based on official sources, indexed bibliographic databases and public data repositories. RESULTS: The favorable scenario, with constant 58% adherence to social distancing, estimated a peak of 189 (interquartile range [IQR]: 57 - 394) ICU hospitalizations on March 3rd2021. Absence of social distancing would result in an unfavorable scenario with a peak of 6,214 (IQR: 4,618 - 8,415) ICU hospitalizations probably as soon as July 14th2020. CONCLUSION: The projections indicate the high impact of social distancing measures and emphasize the applicability of public indicators for COVID-19 monitoring.
31;
32;
33;This manuscript is related to the chapter about human T-cell lymphotropic virus (HTLV) that is part of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Brazilian Health Ministry. HTLV-1/2 infection is a worldwide public health problem and Brazil has the largest number of individuals living with the virus. HTLV-1 causes a variety of clinical manifestations of a neoplastic nature, such as adult leukemia/T-cell lymphoma, and also of an inflammatory nature, such as HTLV-1-associated myelopathy, as well as other manifestations such as uveitis, arthritis and infective dermatitis. These pathologies have high morbidity and mortality and negatively impact the quality of life of infected individuals. This review includes relevant information for health service managers and workers regarding virus transmission modes, diagnosis, treatment and monitoring of individuals living with HTLV-1 and 2 in Brazil.
34;
35;This article summarizes the chapter on epidemiological surveillance of sexually transmitted infections (STI) that forms part of the Clinical Protocol and Treatment Guidelines (PDCT) for Comprehensive Care for People with STI 2020), published by the Health Surveillance Secretariat of the Ministry of Health of Brazil. It presents some reflections on the new case definitions for surveillance of acquired syphilis, syphilis in pregnant women and congenital syphilis. The PCDT-IST 2020 was developed based on scientific evidence and validated in discussions with specialists. Epidemiological and clinical aspects are addressed, as well as guidelines for health service managers regarding programmatic and operational management of these diseases, guidelines for health professionals on screening, diagnosing and treating people with STIs and their sex partners, in addition to strategies for surveillance, prevention and control actions.
36;This article aims to present concepts and clinical practices recommended to approach people with an active sex life. These concepts are an integral part of the recommendations of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections (STI), published by the Ministry of Health of Brazil in 2020.The article proposes a comprehensive approach to sexuality for health promotion and presents important aspects of the communication process that must develop clearly, without prejudice and judgment, with a focus on sexual and reproductive health. It also highlights relevant points about the exercise of sexuality at specific stages of life, recommending assessment of risks and vulnerabilities, as well as screening for STI and condom use. In this way, it is possible to contribute so that people can exercise their sexuality fully, responsibly and safely.
37;The Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Ministry of Health of Brazil in 2020, includes the update on acquired syphilis. The document comprises rapid tests use, safety and efficacy of the administration of benzathine benzylpenicillin, follow-up of cases, clinical and laboratory management of neurosyphilis, approach to sexual partnerships, assistance and monitoring of diagnosed pregnant women, and specificities of syphilis and HIV co-infection, as well as a summary of the notification of cases. It is necessary to train health managers and professionals on a continuous basis, with a view to integrating care and surveillance, strengthening effective syphilis control actions, increasing the search for sexual partnerships, and expanding the access of the most vulnerable populations to health services.
38;The topics of congenital syphilis and children exposed to syphilis are part of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Brazilian Ministry of Health in 2020. The Protocol and Guidelines have been developed based on scientific evidence and validated in discussions with specialists. This article provides guidelines for clinical management of both syphilis in pregnant women and also congenital syphilis, emphasizing prevention of vertical transmission of Treponema pallidum. Epidemiological and clinical aspects of these infections are presented, as well as recommendations for health service managers regarding the programmatic and operational management of syphilis. The article also includes guidelines for health professionals on screening, diagnosing and treating people with sexually transmitted infections and their sex partners, in addition to strategies for syphilis surveillance, prevention and control actions.
39;The recommendations for diagnostic tests for investigating syphilis are part of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections and the Technical Manual for Syphilis Diagnosis, published by the Brazilian Ministry of Health. These recommendations were developed based on scientific evidence and discussions with a panel of experts. Aiming to contribute to the efforts of health service managers and health professionals in qualifying health care, this article presents the use of direct tests to detect Treponema pallidum in lesions, as well as algorithms that combine treponemal and non-treponemal antibody tests to assist in the diagnosis of syphilis. The article also covers use of non-treponemal tests to investigate neurosyphilis and guidelines for interpreting non-treponemal antibody titers in monitoring treatment and diagnosis of congenital syphilis, as well as prospects for innovations in diagnosis. The important role of rapid immunochromatographic treponemal tests for public health and for addressing syphilis is also highlighted.
40;The topic of vaginal discharge is one of the chapters of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Brazilian Ministry of Health in 2020. The chapter has been developed based on scientific evidence and validated in discussions with specialists. This article presents epidemiological and clinical aspects related to vaginal discharge conditions, as well as guidelines for health service managers and health professionals about screening, diagnosing and treating these conditions, which are one of the main complaints among women seeking health services, and which may be caused by infectious or non-infectious factors. In addition, information is presented on strategies for surveillance, prevention and control actions, in order to promote knowledge of the problem and provision of quality care and effective treatment.
41;"Infections that cause cervicitis are a topic presented in the ""Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections"", published by the Brazilian Ministry of Health in 2020. The document was developed based on scientific evidence and validated in discussions with experts. This article presents epidemiological and clinical aspects of infections that cause cervicitis, as well as recommendations on screening, diagnosis and treatment of affected people and their sexual partnerships. In addition, it discusses strategies for surveillance, prevention and control of these infections for health professionals and health service managers involved in the programmatic and operational management of sexually transmitted infections. Expanding access to diagnostic tests and early treatment are crucial for controlling the spread of pathogens that cause cevicitis."
42;This article approach infections that cause urethral discharge, theme which is part of the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Ministry of Health of Brazil in 2020. These guidelines were prepared based on scientific evidence and validated in discussions with experts. When urethritis is not treated correctly, or when the microorganism develops antimicrobial resistance, it can cause serious and even irreversible health damage. It is noteworthy that the high levels of antimicrobial resistance developed by pathogens that causes urethritis comprises a global emergency in public health. This article presents epidemiological and clinical aspects, recommendations on diagnostic and treatment, and strategies for surveillance, prevention and control actions of infections that cause urethral discharge, with the purpose of contributing with managers and health professionals to care qualification.
43;Infections that cause genital ulcers are one of the themes comprising the Clinical Protocol and Therapeutic Guidelines for Comprehensive Care for People with Sexually Transmitted Infections, published by the Brazilian Ministry of Health in 2020. The Protocol and Guidelines have been developed based on scientific evidence and validated in discussions with specialists. This article addresses clinical genital ulcer syndrome caused by sexually transmitted infections, and its most common etiological agents: Treponema pallidum (syphilis), herpes simplex virus-2 (genital herpes) and herpes simplex virus-1 (perioral herpes), Haemophilus ducreyi (chancroid), Chlamydia trachomatis serotypes L1, L2 and L3 (venereal lymphogranuloma), and Klebsiella granulomatis (donovanosis). Epidemiological and clinical aspects of these infections are presented, as well as guidelines for their diagnosis and treatment, in addition to strategies for surveillance, prevention and control actions, with the purpose of supporting health managers and professionals in the qualification of care.
44;
45;"OBJECTIVE: To analyze temporal trend and spatial distribution of syphilis in pregnancy and congenital syphilis in Goiás State, Brazil, between 2007 and 2017. METHODS: This was an ecological time series and spatial distribution study with data obtained from the Notifiable Health Conditions Information System. Prais-Winsten Regression was used to analyze indicator trends by health macro-region. Descriptive spatial analysis was performed to verify case distribution in three different years in the period. RESULTS: Between 2007 and 2017, 7,679 cases of syphilis in pregnancy and 1,554 congenital syphilis cases were reported. A rising trend was found in the rates of syphilis in pregnancy (annual percent change [APC] = 18.0 - 95% confidence interval [95%CI] 15.3;20.8) as well as in congenital syphilis rates (APC=16.8 - 95%CI 20.1;33.8); and a 326% increase in the number of municipalities with a congenital syphilis incidence rate >0.5/1,000 live births. CONCLUSION: Growth in syphilis in pregnancy and congenital syphilis detection rates was identified, as was growth in the number of municipalities reporting cases."
